2024-01-05|09:00:00|Opening Balance|Bank|2500.00
2024-01-07|08:30:00|Monthly Rent|Landlord Properties|-1200.00
2024-01-10|14:22:10|Office Supplies|Staples|-45.99
2024-01-12|10:05:00|Invoice 1001 paid|Acme Corp|1500.00
2024-01-15|12:00:00|Electric Bill|ConEd|-110.50
2024-01-18|09:45:00|Laptop Stand|Amazon|-35.99
2024-01-20|15:30:00|Consulting Fee|Globex Inc|2200.00
2024-01-22|11:00:00|Lunch Meeting|Chipotle|-28.40
2024-01-25|08:00:00|Phone Bill|Verizon|-65.00
2024-01-28|17:15:00|Freelance Invoice #101|Jane Doe|850.00
2024-02-01|09:00:00|Monthly Rent|Landlord Properties|-1200.00
2024-02-03|08:45:00|Internet Bill|Comcast|-89.99
2024-02-05|13:20:00|Invoice 1002 paid|Acme Corp|3000.00
2024-02-07|10:30:00|Coffee Subscription|Trade Coffee|-18.00
2024-02-10|16:00:00|Software License|JetBrains|-249.00
2024-02-12|09:15:00|Client Retainer|Initech|1800.00
2024-02-14|11:45:00|Valentine Dinner|The Capital Grille|-95.00
2024-02-16|14:00:00|Desk Chair|IKEA|-199.99
2024-02-20|08:30:00|Gas Bill|National Grid|-72.40
2024-02-23|17:00:00|Freelance Invoice #102|Jane Doe|750.00
2024-03-01|09:00:00|Monthly Rent|Landlord Properties|-1200.00
2024-03-03|10:00:00|Ergonomic Keyboard|Amazon|-89.50
2024-03-05|11:30:00|Invoice 1003 paid|Acme Corp|2000.00
2024-03-08|08:45:00|Printer Ink|Staples|-32.75
2024-03-10|14:00:00|Phone Bill|Verizon|-65.00
2024-03-12|09:30:00|Project Bonus|Globex Inc|500.00
2024-03-15|12:15:00|Team Lunch|Panera Bread|-87.60
2024-03-18|10:00:00|Domain Renewal|Namecheap|-15.98
2024-03-22|15:45:00|Client Retainer|Initech|1800.00
2024-03-25|08:00:00|Electric Bill|ConEd|-118.20
2024-04-01|09:00:00|Monthly Rent|Landlord Properties|-1200.00
2024-04-03|11:00:00|Invoice 1004 paid|Acme Corp|2750.00
2024-04-05|14:30:00|Headphones|Best Buy|-149.99
2024-04-08|09:00:00|Internet Bill|Comcast|-89.99
2024-04-10|10:15:00|Freelance Invoice #103|Jane Doe|950.00
2024-04-12|13:00:00|Lunch with Client|Olive Garden|-64.30
2024-04-15|08:30:00|Tax Preparation Fee|H&R Block|-250.00
2024-04-18|11:45:00|Cloud Storage|Dropbox|-11.99
2024-04-20|16:00:00|Consulting Fee|Globex Inc|3100.00
2024-04-22|09:30:00|Phone Bill|Verizon|-65.00
2024-04-25|14:00:00|Monitor|Dell|-329.00
2024-04-28|10:00:00|Invoice 1005 paid|Acme Corp|1600.00
2024-05-01|09:00:00|Monthly Rent|Landlord Properties|-1200.00
2024-05-03|08:45:00|Gas Bill|National Grid|-58.90
2024-05-06|11:00:00|Conference Ticket|TechConf 2024|-399.00
2024-05-10|10:30:00|Client Retainer|Initech|1800.00
2024-05-14|13:15:00|Keyboard & Mouse|Logitech|-79.99
2024-05-18|09:00:00|Electric Bill|ConEd|-102.75
2024-05-22|14:00:00|Freelance Invoice #104|Jane Doe|1100.00
2024-05-28|16:30:00|Invoice 1006 paid|Acme Corp|2400.00
